fideid,name,country,sex,title,w_title,o_title,foa_title,standart_rating,rapid_rating,blitz_rating,birthday,flag,IM,IM_year,WFM,WFM_year,WCM,WCM_year,GM,GM_year,WIM,WIM_year,FM,FM_year,CM,CM_year,WGM,WGM_year,WH,WH_year
12501000,"Abbasifar, Hasan",ESP,M,GM,N/A,N/A,N/A,2302,2268,2298,1972,N/A,True,2011,False,0,False,0,True,2013,False,0,True,2005,False,0,False,0,False,0
13400665,"Abbasov, Farid",AZE,M,GM,N/A,FT,N/A,2487,2451,2456,1979,i,True,2001,False,0,False,0,True,2007,False,0,False,0,False,0,False,0,False,0
13401777,"Abbasov, Vusal",AZE,M,FM,N/A,N/A,N/A,2254,2169,2169,1987,N/A,False,0,False,0,False,0,False,0,False,0,True,2023,False,0,False,0,False,0
5500222,"Abbes, Ali",TUN,M,CM,N/A,N/A,N/A,2227,0,2103,1973,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2013,False,0,False,0
3208494,"Abbott, Peter",AUS,M,CM,N/A,N/A,N/A,1888,1921,1823,1955,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2015,False,0,False,0
7900139,"Abbou, Meriem",ALG,F,WFM,WFM,N/A,N/A,2005,0,0,1972,wi,False,0,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
3424634,"Abdala Cancino, Patricia Anastas",CHI,F,WCM,WCM,N/A,N/A,1661,1720,1680,2006,w,False,0,False,0,True,2016,False,0,False,0,False,0,False,0,False,0,False,0
2111080,"Abdalla, Luiz Guilherme Aurelli",BRA,M,FM,N/A,N/A,N/A,2234,2302,2152,1991,i,False,0,False,0,False,0,False,0,False,0,True,2010,False,0,False,0,False,0
5529506,"Abdallah, Mohamed Khalil",TUN,M,CM,N/A,N/A,N/A,2080,1945,2007,2009,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2024,False,0,False,0
9300643,"Abdel Rahim, Mohamed",UAE,M,FM,N/A,N/A,N/A,2053,0,0,,i,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0
10601104,"Abdel Razik, Khaled",EGY,M,IM,N/A,N/A,N/A,2369,2405,2440,1975,i,True,2009,False,0,False,0,False,0,False,0,True,2000,False,0,False,0,False,0
12202576,"Abdelazeez, Mohamed Abdalla",SUD,M,FM,N/A,NA,N/A,2174,2166,2189,1988,i,False,0,False,0,False,0,False,0,False,0,True,2016,False,0,False,0,False,0
9000054,"Abdellah, AitHmidou",MAR,M,CM,N/A,N/A,N/A,2220,0,0,1957,i,False,0,False,0,False,0,False,0,False,0,False,0,True,2015,False,0,False,0
10610529,"Abdelmenaem, Sohayla",EGY,F,WFM,WFM,N/A,N/A,1899,1842,1839,1997,wi,False,0,True,2012,False,0,False,0,False,0,False,0,False,0,False,0,False,0
10600035,"Abdelnabbi, Imed",EGY,M,IM,N/A,N/A,N/A,2402,2275,2316,1957,N/A,True,1985,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
7900880,"Abdi, Zineb Dina",ALG,F,WIM,WIM,N/A,N/A,1909,1953,1904,1996,w,False,0,False,0,True,2009,False,0,True,2013,False,0,False,0,False,0,False,0
14402394,"Abdil, Halil",BIH,M,FM,N/A,N/A,N/A,2050,2047,1987,1974,i,False,0,False,0,False,0,False,0,False,0,True,2006,False,0,False,0,False,0
13716417,"Abdilkhair, Abilmansur",KAZ,M,IM,N/A,N/A,N/A,2408,2243,2278,2003,N/A,True,2024,False,0,False,0,False,0,False,0,True,2018,False,0,False,0,False,0
16100727,"Abdirahin, Abdullahi Mohamed",SOM,M,CM,N/A,N/A,N/A,0,0,0,1996,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2018,False,0,False,0
14206323,"Abdisalimov, Abdimalik",UZB,M,GM,N/A,N/A,N/A,2528,2417,2478,2002,N/A,True,2019,False,0,False,0,True,2023,False,0,True,2015,False,0,False,0,False,0
19603720,Abdou Ahmed Alem,MTN,M,CM,N/A,N/A,N/A,1967,1962,1990,2008,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2025,False,0,False,0
13749358,"Abdsattar, Alisher",KAZ,M,CM,N/A,N/A,N/A,2115,1945,2044,2012,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2024,False,0,False,0
14000695,"Abdukadurova, Mekhri",TKM,F,WFM,WFM,N/A,N/A,2151,0,0,1974,wi,False,0,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
14219522,"Abdukhakimov, Akbarali",UZB,M,FM,N/A,N/A,N/A,2263,2060,2011,2009,N/A,False,0,False,0,False,0,False,0,False,0,True,2024,False,0,False,0,False,0
4800613,"Abdul Hadi, Maftool Mhere",IRQ,M,CM,N/A,N/A,N/A,2235,0,2196,1965,i,False,0,False,0,False,0,False,0,False,0,False,0,True,2010,False,0,False,0
16700066,"Abdul Rahman, Ali",MDV,M,CM,N/A,N/A,N/A,1824,0,1911,1969,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2013,False,0,False,0
4800052,"Abdul Satar, M A",IRQ,M,CM,N/A,N/A,N/A,2240,0,0,,i,False,0,False,0,False,0,False,0,False,0,False,0,True,2010,False,0,False,0
9300210,"Abdul, Majeed Mohamad",UAE,M,FM,N/A,N/A,N/A,2203,0,2103,1974,i,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0
9302484,"Abdulaziz, Amal",UAE,F,WFM,WFM,N/A,N/A,1786,0,0,1994,wi,False,0,True,2004,False,0,False,0,False,0,False,0,False,0,False,0,False,0
9302492,"Abdulaziz, Eman",UAE,F,WFM,WFM,N/A,N/A,1833,0,0,1992,wi,False,0,True,2004,False,0,False,0,False,0,False,0,False,0,False,0,False,0
4800176,"Abdulla, A.",IRQ,M,FM,N/A,N/A,N/A,2320,0,0,,i,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0
13401807,"Abdulla, Khayala",AZE,F,WGM,WGM,N/A,N/A,2213,2147,2107,1993,w,False,0,False,0,False,0,False,0,True,2010,False,0,False,0,True,2015,False,0
2403757,"Abdulla, Murad",SCO,M,FM,N/A,N/A,N/A,2315,2207,2207,2000,N/A,False,0,False,0,False,0,False,0,False,0,True,2017,False,0,False,0,False,0
16700627,"Abdulla, Zaura",MDV,F,WCM,WCM,N/A,N/A,1612,0,0,1996,wi,False,0,False,0,True,2016,False,0,False,0,False,0,False,0,False,0,False,0
9300031,"Abdullah, Mansoor",UAE,M,IM,N/A,N/A,N/A,2270,0,0,,i,True,1991,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
5700086,"Abdullah, Mohd Kamal",MAS,M,CM,N/A,N/A,N/A,2130,2069,2030,1970,i,False,0,False,0,False,0,False,0,False,0,False,0,True,2016,False,0,False,0
13402714,"Abdulov, Orkhan",AZE,M,IM,N/A,N/A,N/A,2373,2219,2268,1988,N/A,True,2011,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
8504563,"ABDULRAHEEM, Abdulrahman Akintoye",NGR,M,FM,N/A,N/A,N/A,2272,2184,2173,1993,N/A,False,0,False,0,False,0,False,0,False,0,True,2019,False,0,False,0,False,0
9310258,"Abdulrahman Mohammad, Al Taher",UAE,M,FM,N/A,N/A,N/A,2244,2109,2044,2006,N/A,False,0,False,0,False,0,False,0,False,0,True,2023,False,0,False,0,False,0
9400877,"Abdulsalam, Nadhmia",YEM,F,WCM,WCM,N/A,N/A,1731,0,0,1975,wi,False,0,False,0,True,2006,False,0,False,0,False,0,False,0,False,0,False,0
4801849,"Abdulwahhab, Ahmed Abdulsattar A",IRQ,M,FM,N/A,N/A,N/A,2063,2117,2183,1975,N/A,False,0,False,0,False,0,False,0,False,0,True,2010,False,0,False,0,False,0
4174860,"Abdulyazanov, Malik",RUS,M,FM,N/A,N/A,N/A,2301,2313,2283,1961,i,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0
13703544,"Abdumalik, Zhansaya",KAZ,F,GM,WGM,N/A,N/A,2468,2453,2383,2000,wi,True,2017,True,2010,False,0,True,2021,True,2011,False,0,False,0,True,2014,False,0
14207346,"Abdurakhmonov, Mukhammadali",UZB,M,IM,N/A,N/A,N/A,2396,2275,2444,2002,N/A,True,2022,False,0,False,0,False,0,False,0,True,2019,False,0,False,0,False,0
14204118,"Abdusattorov, Nodirbek",UZB,M,GM,N/A,N/A,N/A,2768,2732,2694,2004,N/A,True,2017,False,0,False,0,True,2018,False,0,True,2012,False,0,False,0,False,0
13800337,"Abdyzhapar, Asylbek",KGZ,M,IM,N/A,N/A,N/A,2352,2337,2258,1988,N/A,True,2013,False,0,False,0,False,0,False,0,True,2006,False,0,False,0,False,0
9302930,"Abeer, Ali",UAE,F,WCM,WCM,NA,N/A,1715,1634,1593,1996,w,False,0,False,0,True,2015,False,0,False,0,False,0,False,0,False,0,False,0
24605417,"Abel, Dennes",GER,M,IM,N/A,N/A,N/A,2374,2456,2451,1989,N/A,True,2014,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
701424,"Abel, Lajos",HUN,M,IM,N/A,N/A,N/A,2181,2183,2197,1944,N/A,True,1989,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
4637909,"Abel, Thomas",GER,M,FM,N/A,N/A,N/A,2338,0,0,1968,i,False,0,False,0,False,0,False,0,False,0,True,2020,False,0,False,0,False,0
5600251,"Abela, Daniel",MLT,M,CM,N/A,N/A,N/A,2082,0,0,1984,i,False,0,False,0,False,0,False,0,False,0,False,0,True,2022,False,0,False,0
5200970,"Abelgas, Roel",PHI,M,FM,N/A,N/A,N/A,2148,2082,2212,1980,i,False,0,False,0,False,0,False,0,False,0,True,2016,False,0,False,0,False,0
24123501,"Abelguzin, Dinar",RUS,M,FM,N/A,N/A,N/A,2358,2208,2258,2000,i,False,0,False,0,False,0,False,0,False,0,True,2015,False,0,False,0,False,0
4170466,"Abelian, Artak",RUS,M,FM,N/A,NA,N/A,2346,2179,2198,1978,i,False,0,False,0,False,0,False,0,False,0,True,2004,False,0,False,0,False,0
4170474,"Abelian, Oganes",RUS,M,FM,N/A,N/A,N/A,2324,0,0,1950,i,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0
1003640,"Abeln, Michiel",NED,M,FM,N/A,N/A,N/A,2292,0,0,1973,i,False,0,False,0,False,0,False,0,False,0,True,2004,False,0,False,0,False,0
10801839,"Abera, Aydagnuhem Gezachew",ETH,M,CM,N/A,FI,N/A,2096,2074,2021,1986,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2016,False,0,False,0
614890,"Abergel, Thal",FRA,M,GM,N/A,N/A,N/A,2419,2445,2355,1982,N/A,True,2003,False,0,False,0,True,2008,False,0,False,0,False,0,False,0,False,0
5013348,"Abhishek, Das",IND,M,FM,N/A,N/A,N/A,2226,2059,2203,1987,N/A,False,0,False,0,False,0,False,0,False,0,True,2022,False,0,False,0,False,0
5019257,"Abhishek, Kelkar",IND,M,IM,N/A,FT,N/A,2175,2077,2102,1992,N/A,True,2015,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
25624849,"Abhyuday, Santhosh",IND,M,CM,N/A,N/A,N/A,2093,1954,1806,2009,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2024,False,0,False,0
3910202,"Abiad Parra, Carlos Jose",VEN,M,CM,N/A,N/A,N/A,2167,2093,2137,1998,i,False,0,False,0,False,0,False,0,False,0,False,0,True,2021,False,0,False,0
1202278,"Abibula, Aytechin",ROU,M,FM,N/A,N/A,N/A,2328,0,2293,1966,i,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0
13701711,"Abilmazhinov, Dauren",KAZ,M,IM,N/A,N/A,N/A,2428,0,0,1986,i,True,2003,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
9202609,"Abo Moliana, Montasar",LBA,M,FM,N/A,N/A,N/A,2047,2045,1968,1984,i,False,0,False,0,False,0,False,0,False,0,True,2024,False,0,False,0,False,0
202606,"Abolianin, Arthur",BEL,M,IM,N/A,N/A,N/A,2294,2314,2363,1966,N/A,True,2002,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
10600078,"Abou El Zein, Eid Mahmoud",EGY,M,IM,N/A,N/A,N/A,2130,2175,2159,1952,i,True,1993,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
8100160,"Aboudi, Marwan",JOR,M,CM,N/A,NA,N/A,2114,1974,2186,1964,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2022,False,0,False,0
22600264,Abraham Kalokoh,LBR,M,CM,N/A,N/A,N/A,1759,1906,1915,1974,i,False,0,False,0,False,0,False,0,False,0,False,0,True,2017,False,0,False,0
2606879,"Abrahams, Daniel",CAN,M,CM,N/A,N/A,N/A,2071,2123,2076,1987,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2024,False,0,False,0
13301918,"Abrahamyan, Tatev",USA,F,WGM,WGM,N/A,N/A,2310,2300,2309,1988,w,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,2011,False,0
13900609,"Abramciuc, Marius",MDA,M,FM,N/A,N/A,N/A,2246,2169,2166,1998,N/A,False,0,False,0,False,0,False,0,False,0,True,2016,False,0,False,0,False,0
4174089,"Abramov, Alexander",RUS,M,FM,N/A,N/A,N/A,2198,2271,0,1984,i,False,0,False,0,False,0,False,0,False,0,True,2006,False,0,False,0,False,0
4144970,"Abramov, Boris",RUS,M,IM,N/A,N/A,N/A,2149,2049,0,1941,i,True,2001,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
4142713,"Abramov, Leonid",RUS,M,FM,N/A,N/A,N/A,2161,0,2134,1971,i,False,0,False,0,False,0,False,0,False,0,True,2015,False,0,False,0,False,0
24198951,"Abramov, Nikita",RUS,M,FM,N/A,N/A,N/A,2300,2200,2275,2001,i,False,0,False,0,False,0,False,0,False,0,True,2016,False,0,False,0,False,0
4154070,"Abramov, Valentin",RUS,M,FM,N/A,N/A,N/A,2271,0,2252,1986,i,False,0,False,0,False,0,False,0,False,0,True,2005,False,0,False,0,False,0
4179196,"Abramov, Valery",RUS,M,FM,N/A,N/A,N/A,2259,0,2203,1972,i,False,0,False,0,False,0,False,0,False,0,True,2007,False,0,False,0,False,0
24142034,"Abramova, Ekaterina",RUS,F,WFM,WFM,N/A,N/A,2008,1959,1962,1987,wi,False,0,True,2007,False,0,False,0,False,0,False,0,False,0,False,0,False,0
14800063,"Abrantes, Persson",MOZ,M,CM,N/A,N/A,N/A,2003,1996,2005,1990,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2012,False,0,False,0
4120582,"Abrashkin, Boris",RUS,M,IM,N/A,N/A,N/A,2407,2384,0,1967,i,True,2006,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
600440,"Abravanel, Chely",FRA,M,FM,N/A,N/A,N/A,2152,2101,2146,1955,N/A,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0
3502589,"Abreu Delgado, Aryam",CUB,M,GM,N/A,N/A,N/A,2434,2456,2402,1978,i,True,1997,False,0,False,0,True,2008,False,0,False,0,False,0,False,0,False,0
6405525,"Abreu Jean, Carlos Paul",DOM,M,FM,N/A,N/A,N/A,2266,2274,2245,1990,N/A,False,0,False,0,False,0,False,0,False,0,True,2014,False,0,False,0,False,0
6400035,"Abreu, Jorge D.",DOM,M,IM,N/A,N/A,N/A,2381,0,0,1958,i,True,1988,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
32092253,"Abrisqueta Zudaire, Leyre",ESP,F,WFM,WFM,N/A,N/A,2075,1992,2011,2005,w,False,0,True,2022,True,2017,False,0,False,0,False,0,False,0,False,0,False,0
4166892,"Abrosimov, Vladimir",RUS,M,FM,N/A,N/A,N/A,2341,2324,2336,1974,i,False,0,False,0,False,0,False,0,False,0,True,2011,False,0,False,0,False,0
10200916,"Abu Sufian, Shakil",BAN,M,IM,N/A,FT,N/A,2224,2279,2296,1980,N/A,True,2011,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
12200875,Abubaker Abdalsalam,SUD,M,FM,N/A,FT,N/A,2159,2060,2131,1982,i,False,0,False,0,False,0,False,0,False,0,True,2013,False,0,False,0,False,0
4162757,"Abubekerov, Oleg",RUS,M,FM,N/A,N/A,N/A,2246,2177,2191,1989,i,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0
9202544,"Abugenda, Nagi",LBA,M,CM,N/A,N/A,N/A,1994,2020,1989,1986,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2024,False,0,False,0
24174440,"Abukarova, Madina",RUS,F,WFM,WFM,N/A,N/A,2131,0,0,1998,wi,False,0,True,2014,False,0,False,0,False,0,False,0,False,0,False,0,False,0
24111210,"Abuladze, Lana",RUS,F,WFM,WFM,N/A,N/A,2101,2061,2076,1993,wi,False,0,True,2006,False,0,False,0,False,0,False,0,False,0,False,0,False,0
6358900,"Acar, Utku Cengiz",TUR,M,CM,N/A,N/A,N/A,2052,0,1971,2002,i,False,0,False,0,False,0,False,0,False,0,False,0,True,2015,False,0,False,0
6303692,"Acarbay, Algi",TUR,F,WCM,WCM,N/A,N/A,2031,1919,1893,1989,w,False,0,False,0,True,2024,False,0,False,0,False,0,False,0,False,0,False,0
2200937,"Acebal Muniz, Antonio",ESP,M,FM,N/A,N/A,N/A,2001,2069,0,1964,N/A,False,0,False,0,False,0,False,0,False,0,True,2007,False,0,False,0,False,0
2200546,"Acebal Muniz, Jose Maria",ESP,M,FM,N/A,N/A,N/A,2330,2257,2190,1965,i,False,0,False,0,False,0,False,0,False,0,True,2007,False,0,False,0,False,0
2034301,"Acers, Jude",USA,M,CM,N/A,N/A,N/A,2229,0,0,1944,i,False,0,False,0,False,0,False,0,False,0,False,0,True,2022,False,0,False,0
5100844,"Acevedo Garcia, Hilda",MEX,F,WCM,WCM,N/A,N/A,2070,0,0,1970,wi,False,0,False,0,True,2007,False,0,False,0,False,0,False,0,False,0,False,0
6504442,"Acevedo Mendez, Jennifer",CRC,F,WFM,WFM,NA,N/A,1867,1888,1791,1999,w,False,0,True,2014,True,2014,False,0,False,0,False,0,False,0,False,0,False,0
6502938,"Acevedo Mendez, Lisseth",ISL,F,WIM,WIM,N/A,N/A,1882,1860,1848,1993,w,False,0,False,0,False,0,False,0,True,2017,False,0,False,0,False,0,False,0
5100143,"Acevedo Milan, Armando",MEX,M,FM,N/A,N/A,N/A,2235,0,0,1937,i,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0
9700374,"Acham, Meritza",MRI,F,WCM,WCM,N/A,N/A,1704,1702,1650,1997,w,False,0,False,0,True,2024,False,0,False,0,False,0,False,0,False,0,False,0
5001412,"Acharya, Chandragupta K.",IND,M,FM,N/A,N/A,N/A,2300,0,0,1970,i,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0
2009994,"Acholonu, Gregory",USA,M,FM,N/A,N/A,N/A,2251,0,0,1959,i,False,0,False,0,False,0,False,0,False,0,True,2022,False,0,False,0,False,0
9004025,Achraf Hadj Khoulti,MAR,M,CM,N/A,SI,N/A,2074,2027,2191,1990,i,False,0,False,0,False,0,False,0,False,0,False,0,True,2016,False,0,False,0
12956465,"Acikel, Mert",GER,M,FM,N/A,N/A,N/A,2221,2133,2054,2001,N/A,False,0,False,0,False,0,False,0,False,0,True,2022,True,2022,False,0,False,0
1240323,"Aciu, Malina-Andreea",ROU,F,WFM,WFM,N/A,N/A,2016,1951,1951,2002,wi,False,0,True,2021,False,0,False,0,False,0,False,0,False,0,False,0,False,0
4605918,"Ackermann, Hans Werner",GER,M,FM,N/A,N/A,N/A,2230,2261,2127,1952,N/A,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0
2024861,"Acor, Corey",USA,M,FM,N/A,N/A,N/A,2201,2312,2341,1989,N/A,False,0,False,0,False,0,False,0,False,0,True,2015,False,0,False,0,False,0
4406214,"Acosta Cubides, Jorian Jared",COL,M,CM,N/A,N/A,N/A,2064,1980,2023,2001,i,False,0,False,0,False,0,False,0,False,0,False,0,True,2009,False,0,False,0
2256002,"Acosta Sosa, Juan Manuel",ESP,M,FM,N/A,N/A,N/A,2266,2236,2266,1996,N/A,False,0,False,0,False,0,False,0,False,0,True,2015,False,0,False,0,False,0
3906337,"Acosta Villarroel, Lorner Jesus",VEN,M,CM,N/A,N/A,N/A,2170,2277,2252,1994,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2014,False,0,False,0
4400089,"Acosta, Alejandro",COL,M,IM,N/A,N/A,N/A,2292,2256,2304,1959,i,True,2000,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
124311,"Acosta, Pablo Ismael",ARG,M,IM,N/A,N/A,N/A,2437,2422,2404,1999,N/A,True,2014,False,0,False,0,False,0,False,0,True,2009,False,0,False,0,False,0
